Triphala,"Terminalia chebula, Terminalia bellerica, Emblica officinalis",Triphala (Three Fruits),"Gallic acid, ellagic acid, chebulagic acid, chebulinic acid (major polyphenols)",Phenacetin,Analgesic and Antipyretic,"CYP1A2 (major), CYP2C9, CYP2D6 (minor)",Pharmacokinetic,CYP enzyme inhibition altering drug metabolism,Enhanced systemic exposure of drugs metabolized by CYP1A2. Can lead to increased drug action and potential toxicity.,Moderate to significant,Preclinical / Animal + In vitro (rats + human liver microsomes),DOI: 10.1016/j.heliyon.2022.e09764,Caution with co-administration; monitor drug levels and dose adjustments
Triphala,"Terminalia chebula, Terminalia bellerica, Emblica officinalis",Triphala (Three Fruits),"Gallic acid, ellagic acid, chebulagic acid, chebulinic acid (major polyphenols)",Midazolam,Benzodiazepine,"CYP3A4 (major), CYP2C9, CYP2D6 (minor)",Pharmacokinetic,CYP enzyme inhibition altering drug metabolism,Enhanced systemic exposure of drugs metabolized by CYP3A4. Can lead to increased drug action and potential toxicity.,Moderate to significant,Preclinical / Animal + In vitro (rats + human liver microsomes),DOI: 10.1016/j.heliyon.2022.e09764,Caution with co-administration; monitor drug levels and dose adjustments
Triphala,"Terminalia chebula, Terminalia bellerica, Emblica officinalis",Triphala (Three Fruits),"Gallic acid, 3,5-dihydroxy-4-methoxybenzoic acid and other polyphenols",Cisplatin,Platinum-based Antineoplastic Agent,CYP2E1 (Cytochrome P450 2E1),Pharmacokinetic,"Inhibition of drug metabolism, Synergistic",May increase cisplatin systemic exposure. Potential reduction in formation of toxic metabolites (ROS). Could modulate efficacy and toxicity.,Moderate,"Preclinical (in-vitro cell lines, in-vivo rat model, in-silico docking)",DOI: 10.1016/j.jaim.2025.101253,Monitor cisplatin plasma levels and toxicity markers (nephrotoxicity/neuropathy)
Triphala,"Terminalia chebula, Terminalia bellerica, Emblica officinalis",Triphala (Three Fruits),"Gallic acid, 3,5-dihydroxy-4-methoxybenzoic acid and other polyphenols","Gentamicin, Oxacilin",Aminoglycoside / Beta-lactam antibiotic,Not Specified,Pharmacodynamic,Synergistic,Enhanced antimicrobial activity when co-administered with gentamicin and oxacillin,Potentially beneficial synergy,In vitro / Experimental microbiology study,DOI: 10.1186/s12906-019-2618-1,Not Specified
Triphala,"Terminalia chebula, Terminalia bellerica, Emblica officinalis",Triphala (Three Fruits),"Gallic acid, 3,5-dihydroxy-4-methoxybenzoic acid and other polyphenols",Omeprazole,Proton pump inhibitor (PPI),CYP2C19,Pharmacodynamic,Synergistic,Enhanced gastric protection when Triphala is combined with omeprazole (greater reduction in gastric secretion and ulcer score).,Minor to moderate beneficial,Animal study,Not Specified,Not Specified
Guduchi,Tinospora cordifolia,"Guduchi, Giloy, Amrita","Diterpenoid lactones, Alkaloids, Glycosides, Sterols, Polysaccharides",Gliclazide,Sulfonylurea (oral antidiabetic agent),CYP2C9,Pharmacokinetic,Enzyme inhibition (CYP2C9 inhibition),Increased peak concentration (Cmax) and overall drug exposure (AUC). Increased bioavailability of gliclazide.,Moderate to Severe,In vivo animal study - Wistar rats,DOI:10.26650/IstanbulJPharm.2022.959603,Use cautiously; monitor for Hypoglycemia; consider dose reduction of gliclazide
Guduchi,Tinospora cordifolia,"Guduchi, Giloy, Amrita","Diterpenoid lactones, Alkaloids, Glycosides, Sterols, Polysaccharides",Glibenclamide,Antidiabetic drug - Sulfonylurea,Cytochrome P450 Enzymes,Pharmacokinetic,Altered pharmacokinetics (absorption/metabolism),Altered glibenclamide levels - extract may modify plasma concentrations or metabolic elimination,Moderate,Preclinical (animal study),doi: 10.1016/j.jpba.2018.01.010.,Not Specified
Guduchi / Giloy,Tinospora cordifolia,"Guduchi, Giloy, Amrita","Diterpenoid lactones, Alkaloids, Glycosides, Sterols, Polysaccharides",Metformin,Antidiabetic drug - Biguanide,Organic Cation Transporter 2 (OCT2),Pharmacokinetic,Altered elimination and disposition of metformin.,Increased bioavailability of metformin - Significant increases in AUC and half-life observed in animal models; renal clearance decreased.,Moderate,Preclinical (animal study),DOI: https://doi.org/10.56042/ijnpr.v16i2.13564,Not Specified
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones, guggulipids",Prasugrel,Antiplatelet agent (P2Y12 platelet inhibitor),Cytochrome P450 CYP3A4,Pharmacokinetic,Herb may induce CYP3A4 and add antiplatelet effects,Reduced efficacy of prasugrel due to increased metabolism; Increased bleeding risk due to additive antiplatelet activity.,Moderate,"in-vitro studies, animal studies, and limited human data",https://hellopharmacist.com,Monitor for reduced drug effectiveness or bleeding; avoid combination in high-risk patients
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones, guggulipids",Chlorpheniramine,Antihistamine (H1 receptor antagonist),Cytochrome P450 CYP3A4,Pharmacokinetic,Herb induces CYP3A4,Possible reduced drug concentration and decreased therapeutic effect of CYP3A4 substrate drugs,Moderate,in-vitro studies and limited animal/human evidence,https://hellopharmacist.com,Use with caution and monitor therapeutic response
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones, guggulipids",Methscopolamine,Anticholinergic/Antimuscarinic,Cytochrome P450 CYP3A4,Pharmacokinetic,Herb induces CYP3A4,Possible reduced drug concentration and decreased therapeutic effect of CYP3A4 substrate drugs,Moderate,in-vitro studies and limited animal/human evidence,https://hellopharmacist.com,Use with caution and monitor therapeutic response
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones, guggulipids",Midazolam,Benzodiazepine sedative,Cytochrome P450 CYP3A4,Pharmacokinetic,Herb inhibits CYP3A4-mediated metabolism,Increased Cmax and AUC of midazolam and decreased drug clearance; increased systemic exposure,Moderate to potentially significant,Preclinical evidence (in-vitro enzyme assays and rat pharmacokinetic study),https://pmc.ncbi.nlm.nih.gov/articles/PMC7803744/,Use caution when taken with CYP3A4 substrate drugs; monitoring or dose adjustment may be required
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones, guggulipids","Warfarin, Aspirin, Rosuvastatin, Cardiovascular drugs",Not Specified,Cytochrome P450 enzymes (CYP3A4) and pregnane X receptor (PXR),Pharmacokinetic and pharmacodynamic,Enzyme induction and additive pharmacological effects,Increased metabolism of drugs (reduced levels); Increased bleeding risk with anticoagulants; Altered lipid-lowering drug activity.,Moderate (potentially significant),"Literature review evidence (experimental studies, pharmacological reports)",https://www.benthamscience.com/article/150603,Avoid or monitor closely when combined with anticoagulants or cardiovascular medications
Cinnamon,"Cinnamomum verum, Cinnamomum cassia",Dalchini / Dalchini bark,"cinnamaldehyde, cinnamate, cinnamic acid","Antibiotics, Anticoagulants, Antidiabetics, Antifungals, Antilipaemics, Antineoplastic agents, Antiretroviral agents, Anxiolytics, Oestrogens, Hepatotoxic agents, Immunosuppressants, Sympathomimetics",Not Specified,Inhibited arachidonic acid release and thromboxane B2 formation; inhibition of HMG-CoA activity,Pharmacodynamic,Synergistic,"Increased risk of hypoglycaemia, bleeding (theoretical)",Minor,"RCTs, NRCT, CCT, SRs, MAs, CR, CS, AS, in vitro",https://doi.org/10.1111/j.1365-2125.2012.04350.x,Caution for patients with diabetes or those using anticoagulants or antiplatelet agents
Bitter melon,Momordica charantia,"bitter gourd, karela, bitter squash",Not Specified,Hypoglycaemics,Not Specified,"Decreased hepatic gluconeogenesis, increased hepatic glycogen synthesis; increased pancreatic insulin secretion.",Pharmacodynamic,Synergistic,Lowered blood glucose concentrations,Minor,"CCTs, CRs",https://doi.org/10.1111/j.1365-2125.2012.04350.x,Low quality and quantity of evidence. Caution for patients with diabetes
Fenugreek,Trigonella foenum-graecum,methi,"4-hydroxyisoleucine, Trigonelline, Galactomannan, Diosgenin, Vitexin, Isovitexin","Anti-arrhythmic agents, cardiac glycosides, Antidiabetic agents, Anticoagulants, antiplatelets, Antilipaemic agents, Laxatives",Not Specified,Modulation of beta-glucuronidase; phosphorylation of insulin receptor,Pharmacodynamic,"Synergistic with Antidiabetic agents and Laxatives, Inhibition of Anticoagulants","Increased INR, reduced potassium levels, lowered LDL, TG, and total cholesterol and improved insulin resistance",Moderate,"RCTs, NRCT, CCT, SRs, MA, CRs, CS, AS",https://doi.org/10.1111/j.1365-2125.2012.04350.x,Use cautiously in patients taking antidiabetics and antilipemics
Aloe vera,Aloe barbadensis,Aloe vera,"Glucomannan, Alprogen, Anthraquinones, Lupeol, salicylic acid","Hydrocortoisone, Digoxin, Digitoxin, Furosemide, Oral Hypoglycemic","Insulin, Topical hydrocortisone, Zidovudine",Anthraquinone glycosides act as laxatives; stimulation of beta cells,Pharmacodynamic,Synergistic,"Potassium depletion, hypokalaemia, increased hypoglycaemic effect",Minor,"RCTs, CR, AS, in vitro",doi: 10.4103/0019-5154.44785,Use cautiously in patients with diabetes; avoid in patients with renal or cardiac abnormalities
Chia,Salvia hispanica,Chia seeds,"Quercetin, Caffeic acid, Chlorogenic acid, Omega-3 fatty acid",Not Specified,"Anticoagulants, antiplatelets, Antihypertensives, Antioxidants",Increased levels of alphalinolenic acid, fibre, protein and magnesium,Pharmacodynamic,Synergistic,Lowered blood pressure,Minor,"RCTs, AS",doi: 10.4103/0019-5154.44785,Caution advised as high doses of omega-3 can increase risk of bleeding; use cautiously with anticoagulants
Rosemary,Rosmarinus officinalis,Gulmehendi,"rosmarinic acid, camphor, caffeic acid, ursolic acid, betulinic acid, carnosic acid, carnosol, apigenin, diosmin, luteolin",Not Specified,"Anxiolytics, Antibiotics, Anticoagulants, antiplatelets","Inhibition of ACE and platelets aggregation; rosmarinic acid enhances GABAergic neurotransmission",Pharmacokinetic and Pharmacodynamic,Synergistic,"Increased risk of bleeding, hypotension",Minor,"RCTs, CRs, AS, in vitro",doi: 10.4155/fsoa-2017-0124,Use cautiously with salicylates and cytochrome P450 metabolized drugs
Saffron,Crocus sativus,Kesar,"crocin, crocetin, picrocrocin, safranal",Not Specified,"SSRIs, MAOIs, Fertility agents, Alzheimer's agents, Antihypertensives","Trans-crocin-4 may inhibit Abeta fibrillogenesis; Saffron inhibits the serotonin transporter (SERT)",Not Specified,Synergistic,Decrease the risk of atherosclerosis and cardiovascular disease.,Minor,"RCTs, SR, ET, OLS, CS",doi: 10.14814/phy2.15785,Use cautiously with anticoagulants or antiplatelet agents and antidepressants
Turmeric,Curcuma longa,Haldi,Curcumin,"ciprofloxacin, amikacin, gentamicin, cefepime",Antibiotics,Diferuloylmethane disruption of bacterial membrane,Pharmacodynamic,Synergistic,Curcumin may be effective as combination therapy for biofilm forming bacterial infections,Minor,Invitro,doi: 10.4103/0976-0105.183265,Clinical evidence suggests potential benefit.
Turmeric,Curcuma longa,Haldi,Curcumin,"Paracetamol (acetaminophen), Hormonal agents, P-glycoprotein-regulated drugs, Talinolol",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Turmeric,Curcuma longa,Haldi,Curcumin,"Citalopram, Fluoxetin, Sertraline, Fluvoxamine, Paroxetine",SSRIs,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Garlic,allium sativum,lahsun,allicin,warfarin,anticoagulant,inhibit acetyl-CoA synthetase,pharmacodynamic,chemical (covalent) interaction,"increased INR, increased clotting time",moderate (can be severe with high garlic intake),RCTs,doi: 10.4176/071110,Avoid or monitor closely when combined with anticoagulants or statins
papaya extract,carica papaya,papaya,papain,warfarin,anticoagulant,acts on protein substrates,Pharmacodynamic,additive (mild synergstic),increades INR,moderate,CRs,https://pmc.ncbi.nlm.nih.gov/articles/PMC1487979/,Use with caution; avoid papaya supplementation; monitor INR regularly
Aloe vera,Aloe barbadensis,Aloe vera,"aloin, acemannan, anthraquinones, vit A, C, E",thiadzide dieuretics,diuretics,"cyclooxygenase(COX), Bradykininase",pharmacodynamic,additive,"hypokalemia, arrhythmias",moderate,Not Specified,DOI: 10.1089/acm.2008.0290,avoid or use with caution
garlic,allium sativum,lahsun,allicin,propranolol,beta blocker,inhibit HMG-CoA reductase,pharmacodynamic,synergistic,"synergistic antihypertensive action, bradycardia",mild to moderate,Not Specified,https://pubmed.ncbi.nlm.nih.gov/20067865/,"monitor bp, heart rate; avoid high dose of garlic"
garlic,allium sativum,lahsun,allicin,acetaminophen,NSAID,Acetyl-CoA synthetase inhibition,pharmacodynamic,pharmacokinetic,"altered drug metabolism, increased risk of hepatotoxicity, increased indomethacin levels, increased bleeding tendency",moderate,Not Specified,DOI: 10.1016/s0952-3278(96)90014-9,"use cautiously, avoid high doses, monitor liver function"
green tea,camellia sinensis,green tea,epigallocatechin gallate,"warfarin, tamoxifen","oral anticoagulant, SERM",Catechol-o-methyltransferase (COMPT) inhibition,both pharmacokinetic and pharmacodynamic,pharmacokinetic antagonistic,"decreased anticoagulant effect, high risk of thrombosis, reduced INR, altered tamoxifen levels",moderate (can be severe),Not Specified,https://pmc.ncbi.nlm.nih.gov/articles/PMC2858507/,"avoid excessive intake, monitor INR, monitor therapeutic response"
senna,cassia angustifolia,senna,sennosides,thiazide diuretics,diuretics,activated by colonic bacterial enzymes,pharmacodynamic,additive,may decrease potassium levels,moderate to severe,Not Specified,DOI: 10.1089/acm.2008.0290,"avoid long term use, monitor potassium levels"
black pepper,piper nigrum,black pepper,piperine,"phenytoin, carbamazepine",antiepileptic drug,Cytochrome P450 CYP3A4,pharmacokinetic (inhibits CYP3A4),pharmacokinetic,enhances plasma drug concentration and increases oral bioavailability,moderate,Not Specified,DOI: 10.1002/ptr.2676,"monitor for toxicity signs, dose adjustment may be needed"
black pepper,piper nigrum,black pepper,piperine,"propranolol, atenolol",anti-hypertensive,Cytochrome P450 CYP3A4,pharmacokinetic (increases absorption),pharmacokinetic,enhances bioavailability and efficacy,mild to moderate,CCS,DOI: 10.1007/BF00314996,monitor blood pressure and heart rate
Ginger,Zingiber officinale,Not Specified,"paradol, zingerone, gingerols, shogaols",amlodipine,anti-hypertensive,calcium channel blocking,Pharmacodynamic,Synergistic,enhancing antihypertensive activity,Minor,AS,DOI: 10.3390/ijms25126388,Monitor Blood pressure for additional effect
Ginger,Zingiber officinale,Not Specified,"paradol, zingerone, gingerols, shogaols",losartan,anti-hypertensive,competitive inhibitory effect on CYP2C19,Pharmacodynamic,Synergistic,significantly increased plasma concentrations of the drug,Not Specified,in vitro,DOI: 10.3390/ijms25126388,Monitor Blood pressure for additional effect
Brahmi,Bacopa monnieri,"Brahmi, Water hyssop","Bacosides, alkaloids, saponins",Amitriptyline,Tricyclic antidepressant,"CYP450 enzymes (CYP2D6, CYP3A4)",Pharmacokinetic,Enzyme inhibition,Leads to reduced clearance; can cause toxicity,Moderate,Animal study in rats,DOI:10.1590/s2175-97902017000417072,"Use cautiously; monitor for sedation, anticholinergic effects, or cardiotoxicity"
Herb Name,Scientific Name,Common Name,Active Ingredients,Drug Name,Drug Class,Enzyme Target,Mechanism Type,Interaction Type,Clinical Effect,Severity,Evidence Level,Reference,Clinical Reccomendation
Triphala,"Terminalia chebula, Terminalia bellerica, Emblica officinalis",Triphala (Three Fruits),"Gallic acid, ellagic acid, chebulagic acid, chebulinic acid (major polyphenols)",Metformin,Biguanide (Oral Hypoglycemic),Glucose metabolism,Pharmacodynamic,Additive,Hypoglycemia,Minor-moderate,Animal studies,https://pubmed.ncbi.nlm.nih.gov/30451392/,Monitor Blood Glucose level
Ashwagandha,Withania somnifera (L.) Dunal,Ashwagandha,"Withanolides, Alkaloids (somniferine, somnine), Saponins, Steroidal lactones, Flavonoids",Amitryptylline,Tricyclic Antidepressant,Cytochrome P450 1A2 (Cyp1A2),Pharmacokinetic and Pharmacodynamic,Enzyme induction (CYP3A4); serotonergic modulation,Possible reduction in amitriptyline plasma levels due to CYP3A4 induction; theoretical enhancement of serotonergic activity without documented serotonin syndrome,Minor,"In-vitro studies, animal studies, limited/conflicting human data",https://www.mdpi.com/2213378,Use with caution; routine dose adjustment not required; monitor clinical response and serotonergic adverse effects
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Amlodipine,Antihypertensive,Inhibits ACE,Pharmacodynamic,Synergistic,Might increase the risk of hypotension,Moderate,"Animal Studies, Randomized double-blind placebo-controlled in prehypertensive individuals","PMID: 33793146, PMID: 24600195",Monitor Blood Pressure for hypotension
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Atenolol,Antihypertensive,Inhibits ACE,Pharmacodynamic,Synergistic,Might increase the risk of hypotension,Moderate,"Animal Studies, Randomized double-blind placebo-controlled in prehypertensive individuals","PMID: 33793146, PMID: 24600195",Monitor Blood Pressure for hypotension
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Chlorothiazide,Antihypertensive,Inhibits ACE,Pharmacodynamic,Synergistic,Might increase the risk of hypotension,Moderate,"Animal Studies, Randomized double-blind placebo-controlled in prehypertensive individuals","PMID: 33793146, PMID: 24600195",Monitor Blood Pressure for hypotension
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Nifedipine,Antihypertensive,Inhibits ACE,Pharmacodynamic,Synergistic,Might increase the risk of hypotension,Moderate,"Animal Studies, Randomized double-blind placebo-controlled in prehypertensive individuals","PMID: 33793146, PMID: 24600195",Monitor Blood Pressure for hypotension
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Nicardipine,Antihypertensive,Inhibits ACE,Pharmacodynamic,Synergistic,Might increase the risk of hypotension,Moderate,"Animal Studies, Randomized double-blind placebo-controlled in prehypertensive individuals","PMID: 33793146, PMID: 24600195",Monitor Blood Pressure for hypotension
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Telmistartan,Antihypertensive,Inhibits ACE,Pharmacodynamic,Synergistic,Might increase the risk of hypotension,Moderate,"Animal Studies, Randomized double-blind placebo-controlled in prehypertensive individuals","PMID: 33793146, PMID: 24600195",Monitor Blood Pressure for hypotension
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Furosemide,Antihypertensive,Inhibits ACE,Pharmacodynamic,Synergistic,Might increase the risk of hypotension,Moderate,"Animal Studies, Randomized double-blind placebo-controlled in prehypertensive individuals","PMID: 33793146, PMID: 24600195",Monitor Blood Pressure for hypotension
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Glimepiride,Antidiabetic,Increased alpha-glucosidase and aldose-reductase activity,Pharmacodynamic,Synergistic,Might Increase the Risk of Hypoglycemia,Moderate,"In Vivo Experiment, Double-Blind Randomized Placebo-Controlled Clinical Trial","PMID: 33920217 , PMID: 27255456",Monitor Blood Glucose level
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Gliclazide,Antidiabetic,Increased alpha-glucosidase and aldose-reductase activity,Pharmacodynamic,Synergistic,Might Increase the Risk of Hypoglycemia,Moderate,"In Vivo Experiment, Double-Blind Randomized Placebo-Controlled Clinical Trial","PMID: 33920217 , PMID: 27255456",Monitor Blood Glucose level
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Glipizide,Antidiabetic,Increased alpha-glucosidase and aldose-reductase activity,Pharmacodynamic,Synergistic,Might Increase the Risk of Hypoglycemia,Moderate,"In Vivo Experiment, Double-Blind Randomized Placebo-Controlled Clinical Trial","PMID: 33920217 , PMID: 27255456",Monitor Blood Glucose level
