Herb Name ,Scientific Name,Common Name,Active Ingredients,Drug Name ,Drug Class,Enzyme Target,Mechanism Type,Interactiom Type,Clinical Effect,Severity , Evidence Level ,Reference,Clinical Reccomendation,,,,
,Centella asiatica,"Gotu Kola, Mandukaparni, or Vallarai"," Quercetin, kaempferol, catechin, rutin, and naringin, triterpenes mainly pentacyclic triterpenic acids and their respective glycosides, including asiatic acid, asiaticoside, madecassic acid, madecassoside, brahmoside, brahmic acid, brahminoside, thankuniside, isothankuniside, centelloside, madasiatic acid, centic acid, and cenellicacid","Citalopram, Escitalopram, Diazepam, Sertraline,Clopidogrel,Omeprazole, Lansoprazole, Pantoprazole.",,CYP2C19  inhibition,Pharmacokinetic ,"Synergistic , Toxicity","Metabolism of substrate drugs is reduced, leading to increased plasma concentrations and potential toxicity.",Moderate,"Invitro Studies,","DOI: 10.1016/j.jep.2010.11.026 , doi: 10.2217/pgs-2020-0046",Monitor for signs of toxicity and consider dose adjustment of the substrate drug; avoid concurrent use if the drug has a narrow therapeutic index.,,,,
Triphala,"Polyherbal Ayurvedic formulation consisting of
• Terminalia chebula
• Terminalia bellerica
• Emblica officinalis",Triphala (Three Fruits),"Gallic acid, ellagic acid, chebulagic acid, chebulinic acid (major polyphenols)",Phenacetin,Analgesic and Antipyretic,"CYP1A2 (major), CYP2C9, CYP2D6 (minor)",Pharmacokinetic ,CYP enzyme inhibition altering drug metabolism,Enhanced systemic exposure of drugs metabolized by CYP1A2 due to metabolic inhibition. This can lead to increased drug action and potential toxicity.,Moderate to significant — clinically relevant increase in drug levels may occur,Preclinical / Animal + In vitro (rats + human liver microsomes),DOI: 10.1016/j.heliyon.2022.e09764,"Caution with co-administration of Triphala with drugs metabolized by CYP1A2. Consider:
• Monitoring drug levels when possible
• Dose adjustments of sensitive drugs
• Avoid simultaneous use with narrow therapeutic index drugs metabolized primarily by these enzymes",,,,
Triphala,"""Polyherbal Ayurvedic formulation consisting of
• Terminalia chebula
• Terminalia bellerica
• Emblica officinalis""",Triphala (Three Fruits),"Gallic acid, ellagic acid, chebulagic acid, chebulinic acid (major polyphenols)",Midazolam,Benzodiazepine,"CYP3A4 (major), CYP2C9, CYP2D6 (minor)",Pharmacokinetic ,CYP enzyme inhibition altering drug metabolism,Enhanced systemic exposure of drugs metabolized by CYP3A4 due to metabolic inhibition. This can lead to increased drug action and potential toxicity.,Moderate to significant — clinically relevant increase in drug levels may occur,Preclinical / Animal + In vitro (rats + human liver microsomes),DOI: 10.1016/j.heliyon.2022.e09764,"Caution with co-administration of Triphala with drugs metabolized by CYP3A4. Consider:
• Monitoring drug levels when possible
• Dose adjustments of sensitive drugs
• Avoid simultaneous use with narrow therapeutic index drugs metabolized primarily by these enzymes",,,,
Triphala,"""Polyherbal Ayurvedic formulation consisting of
• Terminalia chebula
• Terminalia bellerica
• Emblica officinalis""",Triphala (Three Fruits),"Gallic acid, 3,5-dihydroxy-4-methoxybenzoic acid and other polyphenols (identified as major constituents implicated in enzyme interaction)",Cisplatin,Platinum-based Antineoplastic Agent,CYP2E1 (Cytochrome P450 2E1),Pharmacokinetic ,"Inhibition of drug metabolism, Synergistic","• May increase cisplatin systemic exposure due to reduced metabolism.
• Potential reduction in formation of toxic metabolites (ROS) via CYP2E1 inhibition.
• Could modulate efficacy and toxicity of cisplatin therapy.","Moderate — interaction may affect drug levels and toxic effect balance, especially in high-risk patients.","Preclinical (in-vitro cell lines, in-vivo rat model, in-silico docking)",DOI: 10.1016/j.jaim.2025.101253,"❗ Caution: Be cautious when combining Triphala with cisplatin-based chemotherapy, particularly in patients at risk for altered metabolism or enhanced toxicity.

🩹 Monitor: If used concurrently, monitor cisplatin plasma levels, clinical response, and toxicity markers (e.g., nephrotoxicity, neuropathy).

⚠️ Dose Adjust/Consult: Consider dose adjustments or advising against simultaneous use until more clinical data are available.

📌 Research Gap: Human clinical trials are needed to clarify the clinical significance of this interaction.",,,,
Triphala,"""Polyherbal Ayurvedic formulation consisting of
• Terminalia chebula
• Terminalia bellerica
• Emblica officinalis""",Triphala (Three Fruits),"Gallic acid, 3,5-dihydroxy-4-methoxybenzoic acid and other polyphenols (identified as major constituents implicated in enzyme interaction)",Gentamicin / Oxacilin,Aminoglycoside antibiotic / Beta-lactam antibiotic,,Pharmacodynamic,Synergistic ,Enhanced antimicrobial activity when Triphala was co-administered with gentamicin and oxacillin,Potentially beneficial synergy — not a harmful interaction,In vitro / Experimental microbiology study,DOI: 10.1186/s12906-019-2618-1,,,,,
Triphala,"""Polyherbal Ayurvedic formulation consisting of
• Terminalia chebula
• Terminalia bellerica
• Emblica officinalis""",Triphala (Three Fruits),"Gallic acid, 3,5-dihydroxy-4-methoxybenzoic acid and other polyphenols (identified as major constituents implicated in enzyme interaction)",Omeprazole,Proton pump inhibitor (PPI),CYP2C19,Pharmacodynamic,Synergistic ,Enhanced gastric protection when Triphala is combined with omeprazole (greater reduction in gastric secretion and ulcer score).,Minor to moderate beneficial interaction,Animal study,,,,,,
Guduchi,Tinospora cordifolia,"Guduchi, Giloy, Amrita","Diterpenoid lactones (e.g., tinosporide)
Alkaloids (e.g., berberine, magnoflorine)
Glycosides (e.g., cordifoliosides)
Sterols (e.g., β-sitosterol)
Polysaccharides",Gliclazide,Sulfonylurea (oral antidiabetic agent),CYP2C9,Pharmacokinetic,Enzyme inhibition (CYP2C9 inhibition),"↑ Cmax (increased peak concentration)
↑ AUC (increased overall drug exposure)
↓ Volume of distribution
No significant change in Tmax
=Increased bioavailability of gliclazide",Moderate to Severe,In vivo animal study – Wistar rats,DOI:10.26650/IstanbulJPharm.2022.959603,"Use cautiously with concomitant administration
Monitor for:
Hypoglycemia
Excessive glucose lowering
=Consider dose reduction of gliclazide when used with Guduchi",,,,
Guduchi,Tinospora cordifolia,"Guduchi, Giloy, Amrita","Diterpenoid lactones (e.g., tinosporide)
Alkaloids (e.g., berberine, magnoflorine)
Glycosides (e.g., cordifoliosides)
Sterols (e.g., β-sitosterol)
Polysaccharides",Glibenclamide,Antidiabetic drug — Sulfonylurea,Cytochrome P450 Enzymes,Pharmacokinetic,"Pharmacokinetic interaction — the herb changes the pharmacokinetics of glibenclamide (e.g., absorption/metabolism).","Altered glibenclamide levels — co-administration of T. cordifolia extract may modify glibenclamide plasma concentrations or metabolic elimination, potentially affecting glycemic control",Moderate,Preclinical (animal study),doi: 10.1016/j.jpba.2018.01.010.,,,,,
Guduchi / Giloy,Tinospora cordifolia,"Guduchi, Giloy, Amrita","Diterpenoid lactones (e.g., tinosporide)
Alkaloids (e.g., berberine, magnoflorine)
Glycosides (e.g., cordifoliosides)
Sterols (e.g., β-sitosterol)
Polysaccharides",Metformin,Antidiabetic drug — Biguanide,Organic Cation Transporter 2 (OCT2),Pharmacokinetic,Pharmacokinetic interaction — Altered elimination and disposition of metformin.,"Increased bioavailability of metformin — Significant increases in AUC (area under curve) and half-life were observed in animal models when metformin was co-administered with T. cordifolia extract, while renal clearance decreased.",Moderate,Preclinical (animal study),DOI: https://doi.org/10.56042/ijnpr.v16i2.13564,,,,,
,,,,,,,,,,,,,,,,,
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones (E-guggulsterone, Z-guggulsterone), guggulipids",Prasugrel,Antiplatelet agent (P2Y12 platelet inhibitor),Cytochrome P450 CYP3A4,Pharmacokinetic,Herb may induce CYP3A4 and also add antiplatelet effects,1. Reduced efficacy of CYP3A4 substrate drugs like prasugrel due to increased metabolism. 2. Increased bleeding risk due to additive antiplatelet/anticoagulant activity.,Moderate,"in-vitro studies, animal studies, and limited human data",https://hellopharmacist.com/drug-supplement-interactions/drug-herbal/guggul-with-effient,Use cautiously with healthcare supervision; monitor for reduced drug effectiveness or bleeding; avoid combination if possible in high-risk patients.,,,,
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones (E-guggulsterone, Z-guggulsterone), guggulipids",Chlorpheniramine,Antihistamine (Chlorpheniramine – H1 receptor antagonist),Cytochrome P450 CYP3A4,Pharmacokinetic,"Herb induces CYP3A4, altering metabolism of the drug",Possible reduced drug concentration and decreased therapeutic effect of CYP3A4 substrate drugs,Moderate,in-vitro studies and limited animal/human evidence,https://hellopharmacist.com/drug-supplement-interactions/drug-herbal/guggul-with-chlorpheniramine-methscopolamine,Use with caution and monitor therapeutic response; consult healthcare provider if using guggul with CYP3A4-metabolized medications,,,,
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones (E-guggulsterone, Z-guggulsterone), guggulipids",Methscopolamine,Anticholinergic/Antimuscarinic,Cytochrome P450 CYP3A4,Pharmacokinetic,"Herb induces CYP3A4, altering metabolism of the drug",Possible reduced drug concentration and decreased therapeutic effect of CYP3A4 substrate drugs,Moderate,in-vitro studies and limited animal/human evidence,https://hellopharmacist.com/drug-supplement-interactions/drug-herbal/guggul-with-chlorpheniramine-methscopolamine,Use with caution and monitor therapeutic response; consult healthcare provider if using guggul with CYP3A4-metabolized medications,,,,
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones (E-guggulsterone, Z-guggulsterone), guggulipids",Midazolam,Benzodiazepine sedative,Cytochrome P450 CYP3A4,Pharmacokinetic,Herb inhibits CYP3A4-mediated metabolism of the drug,"Increased Cmax and AUC of midazolam and decreased drug clearance, indicating increased systemic exposure",Moderate to potentially significant,Preclinical evidence (in-vitro enzyme assays and in-vivo rat pharmacokinetic study),https://pmc.ncbi.nlm.nih.gov/articles/PMC7803744/,Use caution when guggulu or guggulsterone-containing products are taken with CYP3A4 substrate drugs; monitoring or dose adjustment may be required,,,,
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin","Guggulsterones (E-guggulsterone, Z-guggulsterone), guggulipids","Anticoagulants / Antiplatelet drugs (e.g., Warfarin, Aspirin), hypolipidemic drugs (e.g., Rosuvastatin), cardiovascular drugs","Anticoagulants, Antiplatelet agents, Lipid-lowering drugs (statins), Cardiovascular drugs",Cytochrome P450 enzymes (especially CYP3A4) and pregnane X receptor (PXR) activation,Pharmacokinetic and pharmacodynamic,Enzyme induction and additive pharmacological effects,"1. Increased metabolism of drugs metabolized by CYP3A4 → reduced drug levels.
2. Increased bleeding risk when combined with anticoagulants/antiplatelet drugs.
3. Possible alteration of lipid-lowering drug activity.",Moderate (potentially significant depending on drug),"Literature review evidence (experimental studies, pharmacological reports, limited clinical evidence)",https://www.benthamscience.com/article/150603,"Avoid or monitor closely when combined with anticoagulants, statins, or cardiovascular medications; consult healthcare provider before co-administration",,,,
Cinnamon,"Cinnamomum verum, Cinnamomum cassia",Dalchini / Dalchini bark,"cinnamaldehyde, cinnamate, cinnamic acid",,"Antibiotics,Anticoagulants or antiplatelets,Antidiabetics,Antifungals,Antilipaemics,Antineoplastic agents,Antiretroviral agents, Anxiolytics,Oestrogens,Hepatotoxic agents,Immunosuppressants,Sympathomimetics","Inhibited arachidonic acid release and thromboxane B2 formation; inhibition of HMG-CoA activity, inhibition of aminopyrine N-demethylation",Pharmacodynamic,Synergistic,"Increased risk of hypoglycaemia, bleeding (theoretical)",Minor,"RCTs, NRCT, CCT, SRs, MAs, CR, CS, AS, in vitro","https://doi.org/10.1111/j.1365-2125.2012.04350.x, doi: 10.1155/2014/642942"," limited evidence in humans. Caution for patients with diabetes, autoimmune diseases, liver damage, and for patients using antiarrhythmic agents, antilipemics and anticoagulant or antiplatelet agents.",,,,
Bitter melon,Momordica charantia,"bitter gourd, karela, and bitter squash",,,Hypoglycaemics,"Decreased hepatic gluconeogenesis, increased hepatic glycogen synthesis; increased pancreatic insulin secretion.",Pharmacodynamic,Synergistic,Lowered blood glucose concentrations,Minor,"CCTs, CRs",https://doi.org/10.1111/j.1365-2125.2012.04350.x,Low quality and quantity of the available evidence regarding interactions. Caution for patients with diabetes,,,,
Fenugreek,Trigonella foenum-graecum,methi ," 4-hydroxyisoleucine, known to have antidiabetic properties. Trigonelline, known for its hypoglycaemic activity. Galactomannan, a compound with hypoglycaemic effect.  Diosgenin, associated with dyslipidemia. Vitexin, an antioxidant compound. Isovitexin, an isomer of vitexin with similar properties.",,"Anti-arrhythmic agents/cardiac glicosides/potassium depletings, Antidiabetic agents
,Anticoagulants and antiplatelets,Antilipaemic agents,Laxatives","Modulation of beta-glucuronidase and mucinase activities, DNA fragmentation by protodiosgenin; phosphorylation of insulin receptor, or activation of insulin signalling pathway",Pharmacodynamic,"Synergistic with Antidiabetic agents and Laxatives, Inhibition of Anticoagulants and antiplatelets","Increased INR, reduced potassium levels, lowered LDL, TG, and total cholesterol and improved insulin resistance",Moderate,"RCTs, NRCT, CCT, SRs, MA, CRs, CS, AS","https://doi.org/10.1111/j.1365-2125.2012.04350.x , doi: 10.3390/plants11111450",Use cautiously in patients taking antidiabetics and antilipemics,,,,
Aloe vera,Aloe barbadensis ,Aloe vera," Glucomannan, Alprogen, C-glucosyl chromone, Anthraquinones , Lupeol, salicylic acid, urea nitrogen, cinnamonic acid, phenols and sulfur. ","Tropical Hydrocortoisone , Digoxin and Digitoxin , Furosemide , Oral Htpoglycemic ","Insulin, Topical hydrocortisone, Zidovudine",Anthraquinone glycosides act as laxatives; stimulation of β cells,Pharmacodynamic,Synergistic,"Potassium depletion, hypokalaemia, increased hypoglycaemic effect",Minor,"RCTs, CR, AS, in vitro", doi: 10.4103/0019-5154.44785,"Use cautiously in patients with diabetes or glucose intolerance. Avoid oral aloe latex in patients with renal insufficiency, cardiac disease, or electrolyte abnormalities",,,,
Chia,Salvia hispanica,Chia seeds,"Quercetin, Caffeic acid, Chlorogenic acid, Omega-3 fatty acid, ω-3 fatty
acid, ω-3 ALA",,"Anticoagulants and antiplatelets, Antihypertensives,Antioxidants","Increased levels of alphalinolenic acid, fibre, protein and magnesium",Pharmacodynamic,Synergistic,Lowered blood pressure,Minor,"RCTs, AS"," doi: 10.4103/0019-5154.44785 , DOI: 10.13040/IJPSR.0975-8232.13(6).2263-73","Caution is advised as high doses of omega-3 fatty acids in Chia are known to increase the risk of bleeding, use cautiously in patients taking  anticoagulants",,,,
Rosemary,Rosmarinus officinalis,Gulmehendi,"rosmarinic acid, camphor, caffeic acid, ursolic acid, betulinic acid, carnosic acid and carnosol, apigenin, diosmin, luteolin, genkwanina and phenolic acids (>3%),  rosmarinic acid, chlorogenic acid ",,"Anxiolytics, Antibiotics, Anticoagulants or antiplatelets","Inhibition of ACE, and platelets aggregation, decreased fibronectin and fibrin, rosmarinic acid enhances GABAergic neurotransmission and inhibits GABA transaminase,",Pharmacokinetic and Pharmacodynamic,Synergistic,"Increased risk of bleeding, hypotension",Minor,"RCTs, CRs, AS, in vitro","doi: 10.4155/fsoa-2017-0124 , https://doi.org/10.1111/j.1365-2125.2012.04350.x, doi: 10.2147/NDT.S501597","Use cautiously in patients using salicylates, cytochrome P450 metabolized drugs and anti-diabetic agents",,,,
Saffron,Crocus sativus,Kesar,"crocin, crocetin, picrocrocin, and safranal",,"SSRIs, MAOIs, Fertility agents, Alzheimer's agents, Anti hypertensives","Trans-crocin-4 may inhibit Abeta fibrillogenesis and platelet aggregation, increasing nitric oxide (NO) concentrations, enhancing antioxidant properties, regulating endothelial function, and attenuating the NF-kappa B pathway ; Saffron inhibits the serotonin transporter (SERT),increases levels of brain-derived neurotrophic factor (BDNF)",,Synergistic,Decrease the risk of atherosclerosis and cardiovascular disease.,Minor,"RCTs, SR, ET, OLS, CS"," doi: 10.14814/phy2.15785, https://doi.org/10.1111/j.1365-2125.2012.04350.x, doi: 10.59249/XURF4540","Use cautiously in patients using anticoagulants or antiplatelet agents, hormonal agents, antidepressants and antihypertensives",,,,
Turmeric,Curcuma longa,Haldi,"curcumin , sesquiterpenes, monoterpenes,diarylheptanoids, diarylheptanoids, Diferuloymethane","ciprofloxacin, amikacin, gentamicin, and cefepime",Antibiotics,Diferuloylmethane is believed to be the principal pharmacological agent responsible for all interactions. Curcumin being amphipathic and lipophilic easily gets incorporated in bacterial membrane resulting in its disruption and leakage.,Pharmacodynamic,Synergistic," curcumin may be effective with ciprofloxacin for Gram-positive biofilm forming bacterial infections and amikacin, gentamicin, and cefepime for Gram-negative biofilm forming bacterial infections as combination therapy. ",Minor,Invitro, doi: 10.4103/0976-0105.183265,Clinical evidence is suggesting potential benefit.,,,,
Turmeric,Curcuma longa,Haldi,"curcumin , sesquiterpenes, monoterpenes,diarylheptanoids, diarylheptanoids, Diferuloymethane",,"Paracetamol (acetaminophen), Hormonal agents,P-glycoprotein-regulated drugs, Talinolol",,,,,,,,,,,,
Turmeric,Curcuma longa,Haldi,"curcumin , sesquiterpenes, monoterpenes,diarylheptanoids, diarylheptanoids, Diferuloymethane","Citalopram, Fluoxetin, Sertraline, Fluvoxamine, Paroxetine",SSRIs,,,,,,,,,,,,
Garlic,allium sativum,lahsun,allicin,warfarin,anticoagulant ,inhibit acetyl-CoA synthetase ,pharmacodynamic,chemical (covalent) interaction,"increased INR , increased clotting time",moderate (can be severe with high garlic intake),RCTs, doi: 10.4176/071110,"Avoid or monitor closely when combined with anticoagulants, statins, or cardiovascular medications; consult healthcare provider before co-administration",,,,
papaya extract,carica papaya,papaya,papain,warfarin,anticoagulant ,acts on protein substrates ,Pharmacodynamic,additive (mild synergstic) pharmacodynamic interaction,increades INR,moderate,CRs,https://pmc.ncbi.nlm.nih.gov/articles/PMC1487979/,"se with caution ,avoid papaya supplementation,monitor INR regularly",,,,
Aloe vera,Aloe barbadensis ,Aloe vera,"aloin,acemannan,anthraquinones,vit A,C,E",thiadzide dieuretics,diuretics,"cyclooxygenase(COX),Bradykininase,antioxidant enzyme",pharmacodynamic,additive (pharmacodynamic interaction),"hypokalemia,arrhythmias",moderate,,DOI: 10.1089/acm.2008.0290,avoid or use with caution ,,,,
garlic,allium sativum,lahsun,allicin,propranolol,beta blocker,inhibit HMG-CoA reductase,pharmacodynamic,synergistic/pharmacodynamic interaction,"synergistic antihypertensive action,bradycardia",mild to moderate,,https://pubmed.ncbi.nlm.nih.gov/20067865/,"monitor patient parameters (bp,heart rate),avoid high dose of garlic,dose ajustment",,,,
garlic,allium sativum,lahsun,allicin,acetaminophen,NSAID,Acetyl-CoA synthetase(thiol enzyme inhibition),pharmacodynamic,pharmacokinetic,"altered drug metabolism,increased risk of hepatotoxicity,increased indomethacin levels,increased bleeding tendenct,platelet dysfunction,haemorrhage",moderate,,  DOI: 10.1016/s0952-3278(96)90014-9,"use cautiously ,avoid high doses of garlic supplements,monitor liver function",,,,
green tea,camellia sinensis,green tea,epigallocatechin gallate ,"warfarin,tamoxifen","oral anticoagulant,SERM(selective estrogen receptor modulator)",Catechol-o-methyltransferase (COMPT)(inhibitedby EGCG),both pharmacokinetic and pharmacodynamic,"pharmacokinetic antagonistic,pharmacokinetic","decreased anticoagulant effect ,high risk of clot formation(thrombosis),reduced INR,altered tamoxifen levels, decreased therapeutic effect,synergistic effect","moderate (can be sever), moderate",,"https://pmc.ncbi.nlm.nih.gov/articles/PMC2858507/#:~:text=Stockley's%20Herbal%20Medicines%20Interactions%20is,constituents%2C%20indications%2C%20and%20pharmacokinetics.","avoid excessive green tea intake,keep intake consistent (do not increase or decrease portion) monitor INR regularly,monitor therapeutic response",,,,
senna ,cassia angustifolia,senna,sennosides,thiazide diuretics,diuretics,"do not target specific enzyme,sennosides are activated by colonic bacterial enzyme(beta-glucosidases)",pharmacodynamic,pharmacodynamic additive interaction,my decrease potassium levels,moderate to severe,,  DOI: 10.1089/acm.2008.0290,"use with caution / avoid long term use,avoid chronic or high dose use ,use only for short term constipation ,monitor potassium levels",,,,
black pepper,piper nigrum,black pepper,"piperine (also contains flavonoids,amidesstrroids,lignans,chlcones)","phenytoin,carbamazepine",antiepileptic drug,Cytochrome P450 CYP3A4,"pharmacokinetic,it inhibits CYP3A4 whic reduces metabolism of drug and increases plasma level",pharmacokinetic ,enhances plasma drug concentration levels and increases the oral bioavailability of the drug,moderate,, DOI: 10.1002/ptr.2676,"use ith caution,monitor for toxicity signs ,dose adjustment may be needed",,,,
